Search Term,Race,Count,Pos Tweets,Neg Tweets,Neu Tweets,Average Compound,Polls,Winner,,,,Winner,Loser,
Jim Renacci,Ohio Senate,2578,463,255,1860,0.0328454616,0,0,,,,,,
Bob Casey,Penn Senate,2187,1778,156,253,0.3959726109,1,1,,,,,,
Lou Barletta,Penn Senate,2598,559,185,1854,0.08314272517,0,0,,,,,,
Neal Gale,Penn Senate,34,12,2,20,0.06629117647,0,0,,,,,,
Dale Kerns,Penn Senate,10,2,0,8,0.08982,0,0,,,,,,
Sheldon Whitehouse,Rhode Island Senate,416,361,11,44,0.4790045673,1,1,,,,,,
Robert Flanders,Rhode Island Senate,4,0,0,4,0,0,0,,,,,,
Phil Bredesen,Tennessee Senate,5014,1275,2487,1252,-0.08692975668,0,0,,,,,,
Marsha Blackburn,Tennessee Senate,34105,15421,5992,12692,0.185409116,1,1,,,,,,
Ted Cruz,Texas Senate,111459,39642,33701,38116,0.0147602033,1,1,,,,,,
Beto O'Rourke,Texas Senate,34926,11445,3830,19651,0.1143955134,0,0,,,,,,
Neal Dikeman,Texas Senate,342,55,131,156,-0.1664704678,0,0,,,,,,
Jenny Wilson,Utah Senate,41,19,6,16,0.1696317073,0,0,,,,,,
Mitt Romney,Utah Senate,3760,1199,1195,1366,-0.006889042553,1,1,,,,,,
Bernie Sanders,Vermont Senate,18726,7963,2074,8689,0.1969482911,1,1,,,,,,
Lawrence Zupan,Vermont Senate,271,249,10,12,0.5139391144,0,0,,,,,,
Tim Kaine,Virginia Senate,24101,12821,4953,6327,0.1971484544,1,1,,,,,,
Corey Stewart,Virginia Senate,12071,5708,4821,1542,-0.0986714191,0,0,,,,,,
Matt Waters,Virginia Senate,38,12,6,20,0.05765526316,0,0,,,,,,
Maria Cantwell,Washington Senate,80,44,3,33,0.23475625,1,1,,,,,,
Susan Hutchison,Washington Senate,138,42,10,86,0.130115942,0,0,,,,,,
Joe Manchin,West Virginia Senate,11987,4104,2193,5690,0.106367665,1,1,,,,,,
Patrick Morrisey,West Virginia Senate,1731,703,585,443,0.018863316,0,0,,,,,,
Rusty Hollen,West Virginia Senate,12,4,7,1,-0.06359166667,0,0,,,,,,
Tammy Baldwin,Wisconsin Senate,4206,3336,331,539,0.388108369,1,1,,,,,,
Leah Vukmir,Wisconsin Senate,574,274,151,149,0.1243625436,0,0,,,,,,
John Barrasso,Wyoming Senate,426,386,0,40,0.516834507,1,1,,,,,,
Gary Trauner,Wyoming Senate,11,4,0,7,0.1667181818,0,0,,,,,,
Joe Porambo,Wyoming Senate,2,0,0,2,0,0,0,,,,,,
